"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 06 14:15:17 GMT 2023","Mon Nov 06 14:15:18 GMT 2023","1616","","testFormQa.testForm","","testFormQa.testForm","testForm","testForm()",""
"passed","Mon Nov 06 14:13:35 GMT 2023","Mon Nov 06 14:13:35 GMT 2023","1","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","csvTest","csvTest()",""
"passed","Mon Nov 06 14:13:06 GMT 2023","Mon Nov 06 14:13:06 GMT 2023","0","","allureTest.LabelsTest","","allureTest.LabelsTest","testLambdaStepStatic","Создание issue для авторизованного пользователя",""
"passed","Mon Nov 06 14:12:01 GMT 2023","Mon Nov 06 14:12:02 GMT 2023","1535","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: ruffolo and password: gfhvqkh656!TT",""
"skipped","Mon Nov 06 14:13:12 GMT 2023","Mon Nov 06 14:13:12 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test2","test2()",""
"passed","Mon Nov 06 14:15:18 GMT 2023","Mon Nov 06 14:15:25 GMT 2023","6501","","test_3.github.TestLogin","","test_3.github.TestLogin","testLoginSuccess","testLoginSuccess()",""
"failed","Mon Nov 06 14:12:54 GMT 2023","Mon Nov 06 14:13:00 GMT 2023","5084","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","prm","prm()",""
"passed","Mon Nov 06 14:12:25 GMT 2023","Mon Nov 06 14:12:31 GMT 2023","5705","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfile","enterProfile(String, String) Authorization user by loginName: login and password: sgtAWI975_!",""
"passed","Mon Nov 06 14:15:30 GMT 2023","Mon Nov 06 14:15:30 GMT 2023","2","","test_3.github.TestLogin","","test_3.github.TestLogin","itShouldName","itShouldName()",""
"passed","Mon Nov 06 14:12:48 GMT 2023","Mon Nov 06 14:12:49 GMT 2023","1489","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: sgtAWI975_!| and name of |User: login|",""
"passed","Mon Nov 06 14:13:35 GMT 2023","Mon Nov 06 14:13:35 GMT 2023","16","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","jsonParseTestPojo","Тест русской раскладки",""
"passed","Mon Nov 06 14:13:35 GMT 2023","Mon Nov 06 14:13:36 GMT 2023","1442","","jobFiles.SelenideFileTest","","jobFiles.SelenideFileTest","uploadFile","uploadFile()",""
"failed","Mon Nov 06 14:15:30 GMT 2023","Mon Nov 06 14:15:35 GMT 2023","4917","","test_3.github.TestLogin","","test_3.github.TestLogin","testLoginError","testLoginError()",""
"passed","Mon Nov 06 14:12:53 GMT 2023","Mon Nov 06 14:12:54 GMT 2023","1495","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: gfhvqkh656!TT| and name of |User: ruffolo|",""
"passed","Mon Nov 06 14:12:14 GMT 2023","Mon Nov 06 14:12:19 GMT 2023","5651","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfilePathFromData","enterProfilePathFromData(String, String) Authorization user by loginName: gregg and password: poiyywfu6732!PP",""
"passed","Mon Nov 06 14:15:43 GMT 2023","Mon Nov 06 14:15:46 GMT 2023","2850","","test_3.github.test_Github","","test_3.github.test_Github","shouldFirstProjectGithubFromSelenide","shouldFirstProjectGithubFromSelenide()",""
"passed","Mon Nov 06 14:12:36 GMT 2023","Mon Nov 06 14:12:42 GMT 2023","5656","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfile","enterProfile(String, String) Authorization user by loginName: gregg and password: poiyywfu6732!PP",""
"passed","Mon Nov 06 14:13:12 GMT 2023","Mon Nov 06 14:13:14 GMT 2023","2120","","jobFiles.DownloadFileTest","","jobFiles.DownloadFileTest","downloadFileTxt","downloadFileTxt()",""
"passed","Mon Nov 06 14:15:13 GMT 2023","Mon Nov 06 14:15:15 GMT 2023","2185","","testFormQa.testForm","","testFormQa.testForm","testForm3Faker","testForm3Faker()",""
"passed","Mon Nov 06 14:15:18 GMT 2023","Mon Nov 06 14:15:18 GMT 2023","1","","testTest.TestTest","","testTest.TestTest","test1","test1()",""
"passed","Mon Nov 06 14:12:51 GMT 2023","Mon Nov 06 14:12:53 GMT 2023","1503","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: poiyywfu6732!PP| and name of |User: gregg|",""
"failed","Mon Nov 06 14:13:12 GMT 2023","Mon Nov 06 14:13:12 GMT 2023","1","","jenkins.NegativeTest","","jenkins.NegativeTest","test2","test2()",""
