"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 05 16:29:57 GMT 2023","Sun Nov 05 16:29:57 GMT 2023","0","","testTest.TestTest","","testTest.TestTest","test2","test2()",""
"passed","Sun Nov 05 16:29:47 GMT 2023","Sun Nov 05 16:29:50 GMT 2023","2660","","pageObject.TestFormPage","","pageObject.TestFormPage","testForm","testForm()",""
"failed","Sun Nov 05 16:28:43 GMT 2023","Sun Nov 05 16:28:48 GMT 2023","5132","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","prm","prm()",""
"failed","Sun Nov 05 16:27:35 GMT 2023","Sun Nov 05 16:27:44 GMT 2023","9361","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: login and password: sgtAWI975_!",""
"skipped","Sun Nov 05 16:29:01 GMT 2023","Sun Nov 05 16:29:01 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test1","test1()",""
"failed","Sun Nov 05 16:30:05 GMT 2023","Sun Nov 05 16:30:10 GMT 2023","5411","","test_3.github.TestLogin","","test_3.github.TestLogin","successfulSearchTest","successfulSearchTest()",""
"failed","Sun Nov 05 16:29:00 GMT 2023","Sun Nov 05 16:29:00 GMT 2023","1","","jenkins.NegativeTest","","jenkins.NegativeTest","test4","test4()",""
"passed","Sun Nov 05 16:28:12 GMT 2023","Sun Nov 05 16:28:18 GMT 2023","5738","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfile","enterProfile(String, String) Authorization user by loginName: login and password: sgtAWI975_!",""
"passed","Sun Nov 05 16:27:49 GMT 2023","Sun Nov 05 16:27:55 GMT 2023","5822","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfilePathFromData","enterProfilePathFromData(String, String) Authorization user by loginName: login and password: sgtAWI975_!",""
"skipped","Sun Nov 05 16:29:01 GMT 2023","Sun Nov 05 16:29:01 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test2","test2()",""
"passed","Sun Nov 05 16:28:54 GMT 2023","Sun Nov 05 16:28:54 GMT 2023","0","","allureTest.LabelsTest","","allureTest.LabelsTest","annotatedStepDynamic","annotatedStepDynamic()",""
"passed","Sun Nov 05 16:27:48 GMT 2023","Sun Nov 05 16:27:49 GMT 2023","1576","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: ruffolo and password: gfhvqkh656!TT",""
"failed","Sun Nov 05 16:29:23 GMT 2023","Sun Nov 05 16:29:30 GMT 2023","7010","","jobFiles.UploadFileTest","","jobFiles.UploadFileTest","uploadImages","uploadImages()",""
"passed","Sun Nov 05 16:29:57 GMT 2023","Sun Nov 05 16:29:57 GMT 2023","0","","testTest.TestTest","","testTest.TestTest","test3","test3()",""
"failed","Sun Nov 05 16:30:10 GMT 2023","Sun Nov 05 16:30:15 GMT 2023","4965","","test_3.github.TestLogin","","test_3.github.TestLogin","testLoginError","testLoginError()",""
"passed","Sun Nov 05 16:30:23 GMT 2023","Sun Nov 05 16:30:26 GMT 2023","3008","","test_3.github.test_Github","","test_3.github.test_Github","shouldFirstProjectGithubFromSelenide","shouldFirstProjectGithubFromSelenide()",""
"passed","Sun Nov 05 16:28:41 GMT 2023","Sun Nov 05 16:28:43 GMT 2023","1753","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: gfhvqkh656!TT| and name of |User: ruffolo|",""
"passed","Sun Nov 05 16:27:55 GMT 2023","Sun Nov 05 16:28:01 GMT 2023","5725","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfilePathFromData","enterProfilePathFromData(String, String) Authorization user by loginName: fill and password: Gtrjgsgy563!!!Here",""
"passed","Sun Nov 05 16:28:54 GMT 2023","Sun Nov 05 16:28:56 GMT 2023","2284","","allureTest.SelenideTest","","allureTest.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Sun Nov 05 16:30:10 GMT 2023","Sun Nov 05 16:30:10 GMT 2023","2","","test_3.github.TestLogin","","test_3.github.TestLogin","itShouldName","itShouldName()",""
"passed","Sun Nov 05 16:29:06 GMT 2023","Sun Nov 05 16:29:09 GMT 2023","2953","","jobFiles.DownloadPdf","","jobFiles.DownloadPdf","downloadPdf","downloadPdf()",""
"passed","Sun Nov 05 16:28:56 GMT 2023","Sun Nov 05 16:28:58 GMT 2023","2183","","allureTest.StepsTest","","allureTest.StepsTest","annotatedStep","annotatedStep()",""
"passed","Sun Nov 05 16:28:35 GMT 2023","Sun Nov 05 16:28:37 GMT 2023","1816","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: sgtAWI975_!| and name of |User: login|",""
"skipped","Sun Nov 05 16:29:01 GMT 2023","Sun Nov 05 16:29:01 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test5","test5()",""
"failed","Sun Nov 05 16:29:01 GMT 2023","Sun Nov 05 16:29:01 GMT 2023","1","","jenkins.NegativeTest","","jenkins.NegativeTest","test5","test5()",""
"broken","Sun Nov 05 16:29:20 GMT 2023","Sun Nov 05 16:29:20 GMT 2023","1","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","zipTest","zipTest()",""
"passed","Sun Nov 05 16:29:57 GMT 2023","Sun Nov 05 16:30:05 GMT 2023","7056","","test_3.github.TestLogin","","test_3.github.TestLogin","testLoginSuccess","testLoginSuccess()",""
"passed","Sun Nov 05 16:29:50 GMT 2023","Sun Nov 05 16:29:52 GMT 2023","2080","","pageObject.TestFormPageAllure","","pageObject.TestFormPageAllure","testForm","Заполнение формы регистрации",""
"passed","Sun Nov 05 16:29:17 GMT 2023","Sun Nov 05 16:29:17 GMT 2023","14","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","csvTest1","csvTest1()",""
"failed","Sun Nov 05 16:29:00 GMT 2023","Sun Nov 05 16:29:00 GMT 2023","1","","jenkins.NegativeTest","","jenkins.NegativeTest","test2","test2()",""
"passed","Sun Nov 05 16:29:09 GMT 2023","Sun Nov 05 16:29:10 GMT 2023","1148","","jobFiles.DownloadPdf","","jobFiles.DownloadPdf","downloadPdfAndSave","downloadPdfAndSave()",""
"passed","Sun Nov 05 16:29:01 GMT 2023","Sun Nov 05 16:29:01 GMT 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test2","test2()",""
"failed","Sun Nov 05 16:29:30 GMT 2023","Sun Nov 05 16:29:36 GMT 2023","5762","","jobFiles.UploadFileTest","","jobFiles.UploadFileTest","uploadText","uploadText()",""
"passed","Sun Nov 05 16:29:01 GMT 2023","Sun Nov 05 16:29:01 GMT 2023","0","","jenkins.PositiveTest","","jenkins.PositiveTest","test3","test3()",""
"failed","Sun Nov 05 16:29:00 GMT 2023","Sun Nov 05 16:29:00 GMT 2023","1","","jenkins.NegativeTest","","jenkins.NegativeTest","test3","test3()",""
"passed","Sun Nov 05 16:29:01 GMT 2023","Sun Nov 05 16:29:01 GMT 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test5","test5()",""
"passed","Sun Nov 05 16:30:15 GMT 2023","Sun Nov 05 16:30:18 GMT 2023","2579","","test_3.github.test_Github","","test_3.github.test_Github","shouldHaveProjectGithubFromSelenide","shouldHaveProjectGithubFromSelenide()",""
"passed","Sun Nov 05 16:28:58 GMT 2023","Sun Nov 05 16:29:00 GMT 2023","2069","","allureTest.StepsTest","","allureTest.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Sun Nov 05 16:28:52 GMT 2023","Sun Nov 05 16:28:54 GMT 2023","2088","","allureTest.AttachmentsTest","","allureTest.AttachmentsTest","testLambdaStepAttachments","testLambdaStepAttachments()",""
"passed","Sun Nov 05 16:29:22 GMT 2023","Sun Nov 05 16:29:23 GMT 2023","1413","","jobFiles.SelenideFileTest","","jobFiles.SelenideFileTest","downloadTest","downloadTest()",""
"failed","Sun Nov 05 16:29:00 GMT 2023","Sun Nov 05 16:29:00 GMT 2023","17","","jenkins.NegativeTest","","jenkins.NegativeTest","test1","test1()",""
"broken","Sun Nov 05 16:29:10 GMT 2023","Sun Nov 05 16:29:10 GMT 2023","52","","jobFiles.DownloadPdf","","jobFiles.DownloadPdf","xlsParseTest","xlsParseTest()",""
"passed","Sun Nov 05 16:28:01 GMT 2023","Sun Nov 05 16:28:07 GMT 2023","5729","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfilePathFromData","enterProfilePathFromData(String, String) Authorization user by loginName: gregg and password: poiyywfu6732!PP",""
"skipped","Sun Nov 05 16:29:01 GMT 2023","Sun Nov 05 16:29:01 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test4","test4()",""
"passed","Sun Nov 05 16:29:01 GMT 2023","Sun Nov 05 16:29:01 GMT 2023","0","","jenkins.PositiveTest","","jenkins.PositiveTest","test1","test1()",""
"passed","Sun Nov 05 16:28:07 GMT 2023","Sun Nov 05 16:28:12 GMT 2023","5723","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfilePathFromData","enterProfilePathFromData(String, String) Authorization user by loginName: ruffolo and password: gfhvqkh656!TT",""
"passed","Sun Nov 05 16:29:20 GMT 2023","Sun Nov 05 16:29:20 GMT 2023","2","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","csvTest","csvTest()",""
"passed","Sun Nov 05 16:28:39 GMT 2023","Sun Nov 05 16:28:41 GMT 2023","1786","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: poiyywfu6732!PP| and name of |User: gregg|",""
"skipped","Sun Nov 05 16:29:01 GMT 2023","Sun Nov 05 16:29:01 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test3","test3()",""
"passed","Sun Nov 05 16:29:01 GMT 2023","Sun Nov 05 16:29:01 GMT 2023","0","","jenkins.PositiveTest","","jenkins.PositiveTest","test4","test4()",""
"passed","Sun Nov 05 16:28:24 GMT 2023","Sun Nov 05 16:28:30 GMT 2023","5694","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfile","enterProfile(String, String) Authorization user by loginName: gregg and password: poiyywfu6732!PP",""
"passed","Sun Nov 05 16:29:10 GMT 2023","Sun Nov 05 16:29:17 GMT 2023","7120","","jobFiles.DownloadPdf","","jobFiles.DownloadPdf","downloadPDF2","downloadPDF2()",""
"passed","Sun Nov 05 16:29:20 GMT 2023","Sun Nov 05 16:29:20 GMT 2023","269","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","xlsParseTest","xlsParseTest()",""
"passed","Sun Nov 05 16:28:48 GMT 2023","Sun Nov 05 16:28:52 GMT 2023","3928","","allureTest.AttachmentsTest","","allureTest.AttachmentsTest","annotatedStepAttachments","annotatedStepAttachments()",""
"passed","Sun Nov 05 16:29:17 GMT 2023","Sun Nov 05 16:29:17 GMT 2023","44","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","jsonParseTest","jsonParseTest()",""
