"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Nov 06 18:46:36 GMT 2023","Mon Nov 06 18:46:36 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test1","test1()",""
"passed","Mon Nov 06 18:46:23 GMT 2023","Mon Nov 06 18:46:26 GMT 2023","2932","","allureTest.AttachmentsTest","","allureTest.AttachmentsTest","testLambdaStepAttachments","testLambdaStepAttachments()",""
"failed","Mon Nov 06 18:49:09 GMT 2023","Mon Nov 06 18:49:15 GMT 2023","6301","","test_3.github.TestLogin","","test_3.github.TestLogin","successfulSearchTest","successfulSearchTest()",""
"passed","Mon Nov 06 18:46:36 GMT 2023","Mon Nov 06 18:46:36 GMT 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test5","test5()",""
"passed","Mon Nov 06 18:46:36 GMT 2023","Mon Nov 06 18:46:36 GMT 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test2","test2()",""
"passed","Mon Nov 06 18:47:07 GMT 2023","Mon Nov 06 18:47:09 GMT 2023","1649","","jobFiles.SelenideFileTest","","jobFiles.SelenideFileTest","downloadTest","downloadTest()",""
"broken","Mon Nov 06 18:46:46 GMT 2023","Mon Nov 06 18:46:46 GMT 2023","65","","jobFiles.DownloadPdf","","jobFiles.DownloadPdf","xlsParseTest","xlsParseTest()",""
"passed","Mon Nov 06 18:48:59 GMT 2023","Mon Nov 06 18:49:01 GMT 2023","2196","","testFormQa.testForm","","testFormQa.testForm","testForm","testForm()",""
"failed","Mon Nov 06 18:46:36 GMT 2023","Mon Nov 06 18:46:36 GMT 2023","2","","jenkins.NegativeTest","","jenkins.NegativeTest","test3","test3()",""
"broken","Mon Nov 06 18:47:09 GMT 2023","Mon Nov 06 18:47:39 GMT 2023","30197","","jobFiles.UploadFileTest","","jobFiles.UploadFileTest","uploadImages","uploadImages()",""
"failed","Mon Nov 06 18:49:23 GMT 2023","Mon Nov 06 18:49:29 GMT 2023","5195","","test_3.github.test_Github","","test_3.github.test_Github","shouldFirstProjectGithubFromSelenideVoidTopContributor","shouldFirstProjectGithubFromSelenideVoidTopContributor()",""
"failed","Mon Nov 06 18:46:36 GMT 2023","Mon Nov 06 18:46:36 GMT 2023","2","","jenkins.NegativeTest","","jenkins.NegativeTest","test2","test2()",""
"passed","Mon Nov 06 18:46:05 GMT 2023","Mon Nov 06 18:46:07 GMT 2023","2282","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: sgtAWI975_!| and name of |User: login|",""
"skipped","Mon Nov 06 18:46:36 GMT 2023","Mon Nov 06 18:46:36 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test3","test3()",""
"passed","Mon Nov 06 18:49:15 GMT 2023","Mon Nov 06 18:49:15 GMT 2023","14","","test_3.github.TestLogin","","test_3.github.TestLogin","itShouldName","itShouldName()",""
"skipped","Mon Nov 06 18:46:36 GMT 2023","Mon Nov 06 18:46:36 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test4","test4()",""
"passed","Mon Nov 06 18:46:09 GMT 2023","Mon Nov 06 18:46:11 GMT 2023","2404","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: poiyywfu6732!PP| and name of |User: gregg|",""
"passed","Mon Nov 06 18:46:36 GMT 2023","Mon Nov 06 18:46:38 GMT 2023","2427","","jobFiles.DownloadFileTest","","jobFiles.DownloadFileTest","downloadFileTxt","downloadFileTxt()",""
"passed","Mon Nov 06 18:47:06 GMT 2023","Mon Nov 06 18:47:07 GMT 2023","1294","","jobFiles.SelenideFileTest","","jobFiles.SelenideFileTest","uploadFile","uploadFile()",""
"broken","Mon Nov 06 18:47:05 GMT 2023","Mon Nov 06 18:47:05 GMT 2023","2","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","zipTest","zipTest()",""
"failed","Mon Nov 06 18:49:15 GMT 2023","Mon Nov 06 18:49:20 GMT 2023","5106","","test_3.github.TestLogin","","test_3.github.TestLogin","testLoginError","testLoginError()",""
"passed","Mon Nov 06 18:46:29 GMT 2023","Mon Nov 06 18:46:33 GMT 2023","3320","","allureTest.StepsTest","","allureTest.StepsTest","annotatedStep","annotatedStep()",""
"passed","Mon Nov 06 18:46:26 GMT 2023","Mon Nov 06 18:46:26 GMT 2023","0","","allureTest.LabelsTest","","allureTest.LabelsTest","annotatedStepDynamic","annotatedStepDynamic()",""
"passed","Mon Nov 06 18:45:59 GMT 2023","Mon Nov 06 18:46:05 GMT 2023","5971","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfile","enterProfile(String, String) Authorization user by loginName: ruffolo and password: gfhvqkh656!TT",""
"passed","Mon Nov 06 18:47:06 GMT 2023","Mon Nov 06 18:47:06 GMT 2023","20","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","jsonParseTestPojo","Тест русской раскладки",""
"skipped","Mon Nov 06 18:46:36 GMT 2023","Mon Nov 06 18:46:36 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test2","test2()",""
"passed","Mon Nov 06 18:45:47 GMT 2023","Mon Nov 06 18:45:53 GMT 2023","5963","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfile","enterProfile(String, String) Authorization user by loginName: fill and password: Gtrjgsgy563!!!Here",""
"passed","Mon Nov 06 18:45:53 GMT 2023","Mon Nov 06 18:45:59 GMT 2023","5919","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfile","enterProfile(String, String) Authorization user by loginName: gregg and password: poiyywfu6732!PP",""
"passed","Mon Nov 06 18:45:17 GMT 2023","Mon Nov 06 18:45:23 GMT 2023","6145","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfilePathFromData","enterProfilePathFromData(String, String) Authorization user by loginName: login and password: sgtAWI975_!",""
"passed","Mon Nov 06 18:46:11 GMT 2023","Mon Nov 06 18:46:13 GMT 2023","1800","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: gfhvqkh656!TT| and name of |User: ruffolo|",""
"passed","Mon Nov 06 18:49:01 GMT 2023","Mon Nov 06 18:49:01 GMT 2023","1","","testTest.TestTest","","testTest.TestTest","test1","test1()",""
"failed","Mon Nov 06 18:46:13 GMT 2023","Mon Nov 06 18:46:19 GMT 2023","5658","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","prm","prm()",""
"passed","Mon Nov 06 18:46:38 GMT 2023","Mon Nov 06 18:46:40 GMT 2023","1379","","jobFiles.DownloadFileTest","","jobFiles.DownloadFileTest","fileDownload","fileDownload()",""
"failed","Mon Nov 06 18:48:46 GMT 2023","Mon Nov 06 18:48:53 GMT 2023","7213","","pageObject.TestFormPageAllure","","pageObject.TestFormPageAllure","testFormNoValidPhone","Заполнение формы регистрации",""
"passed","Mon Nov 06 18:45:10 GMT 2023","Mon Nov 06 18:45:12 GMT 2023","2692","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: fill and password: Gtrjgsgy563!!!Here",""
"broken","Mon Nov 06 18:48:09 GMT 2023","Mon Nov 06 18:48:39 GMT 2023","30177","","jobFiles.UploadFileTest","","jobFiles.UploadFileTest","uploadMp3","uploadMp3()",""
"passed","Mon Nov 06 18:49:01 GMT 2023","Mon Nov 06 18:49:01 GMT 2023","0","","testTest.TestTest","","testTest.TestTest","test3","test3()",""
"failed","Mon Nov 06 18:47:00 GMT 2023","Mon Nov 06 18:47:05 GMT 2023","5566","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","pdfParseTest","pdfParseTest()",""
"passed","Mon Nov 06 18:45:35 GMT 2023","Mon Nov 06 18:45:41 GMT 2023","5982","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfilePathFromData","enterProfilePathFromData(String, String) Authorization user by loginName: ruffolo and password: gfhvqkh656!TT",""
"passed","Mon Nov 06 18:45:12 GMT 2023","Mon Nov 06 18:45:15 GMT 2023","2127","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: gregg and password: poiyywfu6732!PP",""
"passed","Mon Nov 06 18:45:23 GMT 2023","Mon Nov 06 18:45:29 GMT 2023","6024","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfilePathFromData","enterProfilePathFromData(String, String) Authorization user by loginName: fill and password: Gtrjgsgy563!!!Here",""
"passed","Mon Nov 06 18:48:56 GMT 2023","Mon Nov 06 18:48:59 GMT 2023","2398","","testFormQa.testForm","","testFormQa.testForm","testForm2","testForm2()",""
"passed","Mon Nov 06 18:49:01 GMT 2023","Mon Nov 06 18:49:01 GMT 2023","1","","testTest.TestTest","","testTest.TestTest","test2","test2()",""
"failed","Mon Nov 06 18:46:36 GMT 2023","Mon Nov 06 18:46:36 GMT 2023","1","","jenkins.NegativeTest","","jenkins.NegativeTest","test5","test5()",""
"passed","Mon Nov 06 18:46:07 GMT 2023","Mon Nov 06 18:46:09 GMT 2023","1812","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: Gtrjgsgy563!!!Here| and name of |User: fill|",""
"passed","Mon Nov 06 18:46:33 GMT 2023","Mon Nov 06 18:46:36 GMT 2023","3011","","allureTest.StepsTest","","allureTest.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Mon Nov 06 18:47:00 GMT 2023","Mon Nov 06 18:47:00 GMT 2023","89","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","jsonParseTest","jsonParseTest()",""
"passed","Mon Nov 06 18:46:40 GMT 2023","Mon Nov 06 18:46:41 GMT 2023","1636","","jobFiles.DownloadFileTest","","jobFiles.DownloadFileTest","downloadCucumberFile","downloadCucumberFile()",""
"failed","Mon Nov 06 18:44:56 GMT 2023","Mon Nov 06 18:45:10 GMT 2023","13290","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: login and password: sgtAWI975_!",""
"passed","Mon Nov 06 18:48:53 GMT 2023","Mon Nov 06 18:48:53 GMT 2023","1","","properties.SystemPropertiesTest","","properties.SystemPropertiesTest","simpleProperty4","simpleProperty4()",""
"failed","Mon Nov 06 18:46:36 GMT 2023","Mon Nov 06 18:46:36 GMT 2023","22","","jenkins.NegativeTest","","jenkins.NegativeTest","test1","test1()",""
"passed","Mon Nov 06 18:48:53 GMT 2023","Mon Nov 06 18:48:53 GMT 2023","1","","properties.SystemPropertiesTest","","properties.SystemPropertiesTest","simplePropertyTest3","simplePropertyTest3()",""
"passed","Mon Nov 06 18:46:19 GMT 2023","Mon Nov 06 18:46:23 GMT 2023","4573","","allureTest.AttachmentsTest","","allureTest.AttachmentsTest","annotatedStepAttachments","annotatedStepAttachments()",""
"passed","Mon Nov 06 18:47:06 GMT 2023","Mon Nov 06 18:47:06 GMT 2023","1","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","csvTest","csvTest()",""
"passed","Mon Nov 06 18:48:43 GMT 2023","Mon Nov 06 18:48:46 GMT 2023","3044","","pageObject.TestFormPageAllure","","pageObject.TestFormPageAllure","testForm","Заполнение формы регистрации",""
"passed","Mon Nov 06 18:48:53 GMT 2023","Mon Nov 06 18:48:53 GMT 2023","0","","properties.SystemPropertiesTest","","properties.SystemPropertiesTest","simpleProperty1","simpleProperty1()",""
"passed","Mon Nov 06 18:45:15 GMT 2023","Mon Nov 06 18:45:17 GMT 2023","2089","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: ruffolo and password: gfhvqkh656!TT",""
"passed","Mon Nov 06 18:45:41 GMT 2023","Mon Nov 06 18:45:47 GMT 2023","5928","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfile","enterProfile(String, String) Authorization user by loginName: login and password: sgtAWI975_!",""
"broken","Mon Nov 06 18:47:39 GMT 2023","Mon Nov 06 18:48:09 GMT 2023","30177","","jobFiles.UploadFileTest","","jobFiles.UploadFileTest","uploadText","uploadText()",""
"passed","Mon Nov 06 18:48:39 GMT 2023","Mon Nov 06 18:48:43 GMT 2023","3869","","pageObject.TestFormPage","","pageObject.TestFormPage","testForm","testForm()",""
"passed","Mon Nov 06 18:47:05 GMT 2023","Mon Nov 06 18:47:06 GMT 2023","319","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","xlsParseTest","xlsParseTest()",""
"passed","Mon Nov 06 18:49:29 GMT 2023","Mon Nov 06 18:49:32 GMT 2023","3405","","test_3.github.test_Github","","test_3.github.test_Github","shouldFirstProjectGithubFromSelenide","shouldFirstProjectGithubFromSelenide()",""
"passed","Mon Nov 06 18:49:01 GMT 2023","Mon Nov 06 18:49:09 GMT 2023","7590","","test_3.github.TestLogin","","test_3.github.TestLogin","testLoginSuccess","testLoginSuccess()",""
"passed","Mon Nov 06 18:46:36 GMT 2023","Mon Nov 06 18:46:36 GMT 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test1","test1()",""
"passed","Mon Nov 06 18:48:53 GMT 2023","Mon Nov 06 18:48:53 GMT 2023","0","","properties.SystemPropertiesTest","","properties.SystemPropertiesTest","simplePropertyTest5","simplePropertyTest5()",""
"passed","Mon Nov 06 18:48:53 GMT 2023","Mon Nov 06 18:48:53 GMT 2023","0","","properties.SystemPropertiesTest","","properties.SystemPropertiesTest","simplePropertyTest","simplePropertyTest()",""
"passed","Mon Nov 06 18:46:26 GMT 2023","Mon Nov 06 18:46:29 GMT 2023","3028","","allureTest.SelenideTest","","allureTest.SelenideTest","testIssueSearch","testIssueSearch()",""
"failed","Mon Nov 06 18:46:36 GMT 2023","Mon Nov 06 18:46:36 GMT 2023","4","","jenkins.NegativeTest","","jenkins.NegativeTest","test4","test4()",""
"passed","Mon Nov 06 18:46:36 GMT 2023","Mon Nov 06 18:46:36 GMT 2023","0","","jenkins.PositiveTest","","jenkins.PositiveTest","test3","test3()",""
"passed","Mon Nov 06 18:48:53 GMT 2023","Mon Nov 06 18:48:56 GMT 2023","2991","","testFormQa.testForm","","testFormQa.testForm","testForm3Faker","testForm3Faker()",""
"passed","Mon Nov 06 18:46:45 GMT 2023","Mon Nov 06 18:46:46 GMT 2023","1589","","jobFiles.DownloadPdf","","jobFiles.DownloadPdf","downloadPdfAndSave","downloadPdfAndSave()",""
"passed","Mon Nov 06 18:45:29 GMT 2023","Mon Nov 06 18:45:35 GMT 2023","5970","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfilePathFromData","enterProfilePathFromData(String, String) Authorization user by loginName: gregg and password: poiyywfu6732!PP",""
"passed","Mon Nov 06 18:46:26 GMT 2023","Mon Nov 06 18:46:26 GMT 2023","1","","allureTest.LabelsTest","","allureTest.LabelsTest","testLambdaStepStatic","Создание issue для авторизованного пользователя",""
"passed","Mon Nov 06 18:48:53 GMT 2023","Mon Nov 06 18:48:53 GMT 2023","1","","properties.SystemPropertiesTest","","properties.SystemPropertiesTest","simplePrTest","simplePrTest()",""
"passed","Mon Nov 06 18:46:36 GMT 2023","Mon Nov 06 18:46:36 GMT 2023","5","","jenkins.PositiveTest","","jenkins.PositiveTest","test4","test4()",""
"passed","Mon Nov 06 18:46:46 GMT 2023","Mon Nov 06 18:47:00 GMT 2023","13255","","jobFiles.DownloadPdf","","jobFiles.DownloadPdf","downloadPDF2","downloadPDF2()",""
"passed","Mon Nov 06 18:47:00 GMT 2023","Mon Nov 06 18:47:00 GMT 2023","52","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","csvTest1","csvTest1()",""
"passed","Mon Nov 06 18:49:20 GMT 2023","Mon Nov 06 18:49:23 GMT 2023","3292","","test_3.github.test_Github","","test_3.github.test_Github","shouldHaveProjectGithubFromSelenide","shouldHaveProjectGithubFromSelenide()",""
"passed","Mon Nov 06 18:46:41 GMT 2023","Mon Nov 06 18:46:45 GMT 2023","3627","","jobFiles.DownloadPdf","","jobFiles.DownloadPdf","downloadPdf","downloadPdf()",""
"skipped","Mon Nov 06 18:46:36 GMT 2023","Mon Nov 06 18:46:36 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test5","test5()",""
