"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 07 14:43:44 GMT 2023","Tue Nov 07 14:43:44 GMT 2023","60","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","jsonParseTest","jsonParseTest()",""
"passed","Tue Nov 07 14:42:19 GMT 2023","Tue Nov 07 14:42:21 GMT 2023","2053","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: ruffolo and password: gfhvqkh656!TT",""
"passed","Tue Nov 07 14:43:11 GMT 2023","Tue Nov 07 14:43:13 GMT 2023","1473","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: gfhvqkh656!TT| and name of |User: ruffolo|",""
"broken","Tue Nov 07 14:45:23 GMT 2023","Tue Nov 07 14:45:24 GMT 2023","414","","pageObject.TestFormPageAllure","","pageObject.TestFormPageAllure","testFormNoValidPhone","Заполнение формы регистрации",""
"passed","Tue Nov 07 14:43:50 GMT 2023","Tue Nov 07 14:43:50 GMT 2023","4","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","csvTest","csvTest()",""
"passed","Tue Nov 07 14:43:30 GMT 2023","Tue Nov 07 14:43:30 GMT 2023","0","","jenkins.PositiveTest","","jenkins.PositiveTest","test1","test1()",""
"passed","Tue Nov 07 14:43:23 GMT 2023","Tue Nov 07 14:43:25 GMT 2023","2041","","allureTest.SelenideTest","","allureTest.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Tue Nov 07 14:42:16 GMT 2023","Tue Nov 07 14:42:18 GMT 2023","1627","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: fill and password: Gtrjgsgy563!!!Here",""
"passed","Tue Nov 07 14:45:29 GMT 2023","Tue Nov 07 14:45:29 GMT 2023","0","","testTest.TestTest","","testTest.TestTest","test2","test2()",""
"passed","Tue Nov 07 14:45:24 GMT 2023","Tue Nov 07 14:45:24 GMT 2023","0","","properties.SystemPropertiesTest","","properties.SystemPropertiesTest","simplePropertyTest3","simplePropertyTest3()",""
"passed","Tue Nov 07 14:43:01 GMT 2023","Tue Nov 07 14:43:07 GMT 2023","5617","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfile","enterProfile(String, String) Authorization user by loginName: ruffolo and password: gfhvqkh656!TT",""
"broken","Tue Nov 07 14:44:22 GMT 2023","Tue Nov 07 14:44:52 GMT 2023","30151","","jobFiles.UploadFileTest","","jobFiles.UploadFileTest","uploadText","uploadText()",""
"failed","Tue Nov 07 14:43:13 GMT 2023","Tue Nov 07 14:43:18 GMT 2023","5044","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","prm","prm()",""
"passed","Tue Nov 07 14:45:29 GMT 2023","Tue Nov 07 14:45:29 GMT 2023","0","","testTest.TestTest","","testTest.TestTest","test1","test1()",""
"broken","Tue Nov 07 14:45:23 GMT 2023","Tue Nov 07 14:45:23 GMT 2023","454","","pageObject.TestFormPageAllure","","pageObject.TestFormPageAllure","testForm","Заполнение формы регистрации",""
"passed","Tue Nov 07 14:42:33 GMT 2023","Tue Nov 07 14:42:38 GMT 2023","5623","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfilePathFromData","enterProfilePathFromData(String, String) Authorization user by loginName: gregg and password: poiyywfu6732!PP",""
"passed","Tue Nov 07 14:43:28 GMT 2023","Tue Nov 07 14:43:30 GMT 2023","2323","","allureTest.StepsTest","","allureTest.StepsTest","testLambdaStep","testLambdaStep()",""
"broken","Tue Nov 07 14:43:37 GMT 2023","Tue Nov 07 14:43:37 GMT 2023","48","","jobFiles.DownloadPdf","","jobFiles.DownloadPdf","xlsParseTest","xlsParseTest()",""
"failed","Tue Nov 07 14:43:30 GMT 2023","Tue Nov 07 14:43:30 GMT 2023","1","","jenkins.NegativeTest","","jenkins.NegativeTest","test3","test3()",""
"passed","Tue Nov 07 14:43:34 GMT 2023","Tue Nov 07 14:43:36 GMT 2023","2663","","jobFiles.DownloadPdf","","jobFiles.DownloadPdf","downloadPdf","downloadPdf()",""
"failed","Tue Nov 07 14:43:30 GMT 2023","Tue Nov 07 14:43:30 GMT 2023","18","","jenkins.NegativeTest","","jenkins.NegativeTest","test1","test1()",""
"failed","Tue Nov 07 14:45:47 GMT 2023","Tue Nov 07 14:45:53 GMT 2023","5219","","test_3.github.test_Github","","test_3.github.test_Github","shouldFirstProjectGithubFromSelenideVoidTopContributor","shouldFirstProjectGithubFromSelenideVoidTopContributor()",""
"passed","Tue Nov 07 14:45:24 GMT 2023","Tue Nov 07 14:45:24 GMT 2023","1","","properties.SystemPropertiesTest","","properties.SystemPropertiesTest","simplePrTest","simplePrTest()",""
"failed","Tue Nov 07 14:42:06 GMT 2023","Tue Nov 07 14:42:16 GMT 2023","9964","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: login and password: sgtAWI975_!",""
"passed","Tue Nov 07 14:45:24 GMT 2023","Tue Nov 07 14:45:24 GMT 2023","1","","properties.SystemPropertiesTest","","properties.SystemPropertiesTest","simplePropertyTest5","simplePropertyTest5()",""
"passed","Tue Nov 07 14:43:36 GMT 2023","Tue Nov 07 14:43:37 GMT 2023","881","","jobFiles.DownloadPdf","","jobFiles.DownloadPdf","downloadPdfAndSave","downloadPdfAndSave()",""
"passed","Tue Nov 07 14:45:53 GMT 2023","Tue Nov 07 14:45:55 GMT 2023","2762","","test_3.github.test_Github","","test_3.github.test_Github","shouldFirstProjectGithubFromSelenide","shouldFirstProjectGithubFromSelenide()",""
"skipped","Tue Nov 07 14:43:30 GMT 2023","Tue Nov 07 14:43:30 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test1","test1()",""
"skipped","Tue Nov 07 14:43:30 GMT 2023","Tue Nov 07 14:43:30 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test4","test4()",""
"passed","Tue Nov 07 14:42:38 GMT 2023","Tue Nov 07 14:42:44 GMT 2023","5671","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfilePathFromData","enterProfilePathFromData(String, String) Authorization user by loginName: ruffolo and password: gfhvqkh656!TT",""
"passed","Tue Nov 07 14:45:29 GMT 2023","Tue Nov 07 14:45:34 GMT 2023","5055","","test_3.github.TestLogin","","test_3.github.TestLogin","testLoginSuccess","testLoginSuccess()",""
"passed","Tue Nov 07 14:43:30 GMT 2023","Tue Nov 07 14:43:30 GMT 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test4","test4()",""
"passed","Tue Nov 07 14:42:50 GMT 2023","Tue Nov 07 14:42:55 GMT 2023","5666","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfile","enterProfile(String, String) Authorization user by loginName: fill and password: Gtrjgsgy563!!!Here",""
"passed","Tue Nov 07 14:43:50 GMT 2023","Tue Nov 07 14:43:51 GMT 2023","853","","jobFiles.SelenideFileTest","","jobFiles.SelenideFileTest","uploadFile","uploadFile()",""
"passed","Tue Nov 07 14:43:32 GMT 2023","Tue Nov 07 14:43:33 GMT 2023","820","","jobFiles.DownloadFileTest","","jobFiles.DownloadFileTest","fileDownload","fileDownload()",""
"broken","Tue Nov 07 14:43:52 GMT 2023","Tue Nov 07 14:44:22 GMT 2023","30150","","jobFiles.UploadFileTest","","jobFiles.UploadFileTest","uploadImages","uploadImages()",""
"failed","Tue Nov 07 14:43:30 GMT 2023","Tue Nov 07 14:43:30 GMT 2023","1","","jenkins.NegativeTest","","jenkins.NegativeTest","test4","test4()",""
"failed","Tue Nov 07 14:45:40 GMT 2023","Tue Nov 07 14:45:45 GMT 2023","5283","","test_3.github.TestLogin","","test_3.github.TestLogin","testLoginError","testLoginError()",""
"passed","Tue Nov 07 14:45:24 GMT 2023","Tue Nov 07 14:45:26 GMT 2023","2246","","testFormQa.testForm","","testFormQa.testForm","testForm3Faker","testForm3Faker()",""
"passed","Tue Nov 07 14:43:07 GMT 2023","Tue Nov 07 14:43:08 GMT 2023","1464","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: sgtAWI975_!| and name of |User: login|",""
