"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 06 15:46:14 GMT 2023","Mon Nov 06 15:46:23 GMT 2023","8839","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: login and password: sgtAWI975_!",""
"passed","Mon Nov 06 15:49:32 GMT 2023","Mon Nov 06 15:49:34 GMT 2023","2289","","testFormQa.testForm","","testFormQa.testForm","testForm3Faker","testForm3Faker()",""
"passed","Mon Nov 06 15:49:37 GMT 2023","Mon Nov 06 15:49:37 GMT 2023","1","","testTest.TestTest","","testTest.TestTest","test1","test1()",""
"passed","Mon Nov 06 15:46:25 GMT 2023","Mon Nov 06 15:46:26 GMT 2023","1613","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: gregg and password: poiyywfu6732!PP",""
"broken","Mon Nov 06 15:49:31 GMT 2023","Mon Nov 06 15:49:32 GMT 2023","443","","pageObject.TestFormPageAllure","","pageObject.TestFormPageAllure","testForm","Заполнение формы регистрации",""
"passed","Mon Nov 06 15:49:50 GMT 2023","Mon Nov 06 15:49:50 GMT 2023","2","","test_3.github.TestLogin","","test_3.github.TestLogin","itShouldName","itShouldName()",""
"passed","Mon Nov 06 15:47:31 GMT 2023","Mon Nov 06 15:47:31 GMT 2023","0","","allureTest.LabelsTest","","allureTest.LabelsTest","annotatedStepDynamic","annotatedStepDynamic()",""
"passed","Mon Nov 06 15:47:37 GMT 2023","Mon Nov 06 15:47:37 GMT 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test3","test3()",""
"passed","Mon Nov 06 15:47:25 GMT 2023","Mon Nov 06 15:47:29 GMT 2023","3852","","allureTest.AttachmentsTest","","allureTest.AttachmentsTest","annotatedStepAttachments","annotatedStepAttachments()",""
"passed","Mon Nov 06 15:49:54 GMT 2023","Mon Nov 06 15:49:57 GMT 2023","2590","","test_3.github.test_Github","","test_3.github.test_Github","shouldHaveProjectGithubFromSelenide","shouldHaveProjectGithubFromSelenide()",""
"passed","Mon Nov 06 15:47:02 GMT 2023","Mon Nov 06 15:47:08 GMT 2023","5672","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfile","enterProfile(String, String) Authorization user by loginName: gregg and password: poiyywfu6732!PP",""
"broken","Mon Nov 06 15:49:00 GMT 2023","Mon Nov 06 15:49:30 GMT 2023","30133","","jobFiles.UploadFileTest","","jobFiles.UploadFileTest","uploadMp3","uploadMp3()",""
