"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 07 15:19:04 GMT 2023","Tue Nov 07 15:19:07 GMT 2023","2816","","jobFiles.DownloadFileTest","","jobFiles.DownloadFileTest","fileDownload","fileDownload()",""
"passed","Tue Nov 07 15:17:14 GMT 2023","Tue Nov 07 15:17:17 GMT 2023","2638","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: ruffolo and password: gfhvqkh656!TT",""
"passed","Tue Nov 07 15:19:01 GMT 2023","Tue Nov 07 15:19:01 GMT 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test4","test4()",""
"passed","Tue Nov 07 15:19:01 GMT 2023","Tue Nov 07 15:19:01 GMT 2023","3","","jenkins.PositiveTest","","jenkins.PositiveTest","test3","test3()",""
"failed","Tue Nov 07 15:18:30 GMT 2023","Tue Nov 07 15:18:38 GMT 2023","7428","","allureTest.AttachmentsTest","","allureTest.AttachmentsTest","annotatedStepAttachments","annotatedStepAttachments()",""
"passed","Tue Nov 07 15:19:39 GMT 2023","Tue Nov 07 15:19:39 GMT 2023","1","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","csvTest","csvTest()",""
"failed","Tue Nov 07 15:19:00 GMT 2023","Tue Nov 07 15:19:00 GMT 2023","7","","jenkins.NegativeTest","","jenkins.NegativeTest","test2","test2()",""
"failed","Tue Nov 07 15:19:00 GMT 2023","Tue Nov 07 15:19:00 GMT 2023","2","","jenkins.NegativeTest","","jenkins.NegativeTest","test4","test4()",""
"passed","Tue Nov 07 15:21:34 GMT 2023","Tue Nov 07 15:21:34 GMT 2023","1","","testTest.TestTest","","testTest.TestTest","test1","test1()",""
"broken","Tue Nov 07 15:21:16 GMT 2023","Tue Nov 07 15:21:17 GMT 2023","1105","","pageObject.TestFormPageAllure","","pageObject.TestFormPageAllure","testFormNoValidPhone","Заполнение формы регистрации",""
"passed","Tue Nov 07 15:21:34 GMT 2023","Tue Nov 07 15:21:45 GMT 2023","11042","","test_3.github.TestLogin","","test_3.github.TestLogin","testLoginSuccess","testLoginSuccess()",""
"passed","Tue Nov 07 15:17:51 GMT 2023","Tue Nov 07 15:17:58 GMT 2023","6758","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfile","enterProfile(String, String) Authorization user by loginName: fill and password: Gtrjgsgy563!!!Here",""
"passed","Tue Nov 07 15:19:39 GMT 2023","Tue Nov 07 15:19:40 GMT 2023","1779","","jobFiles.SelenideFileTest","","jobFiles.SelenideFileTest","uploadFile","uploadFile()",""
