"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 06 16:47:49 GMT 2023","Mon Nov 06 16:47:55 GMT 2023","5997","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfile","enterProfile(String, String) Authorization user by loginName: gregg and password: poiyywfu6732!PP",""
"failed","Mon Nov 06 16:50:52 GMT 2023","Mon Nov 06 16:50:58 GMT 2023","6074","","test_3.github.TestLogin","","test_3.github.TestLogin","successfulSearchTest","successfulSearchTest()",""
"broken","Mon Nov 06 16:50:34 GMT 2023","Mon Nov 06 16:50:35 GMT 2023","647","","pageObject.TestFormPageAllure","","pageObject.TestFormPageAllure","testFormNoValidPhone","Заполнение формы регистрации",""
"failed","Mon Nov 06 16:46:47 GMT 2023","Mon Nov 06 16:47:02 GMT 2023","14805","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: login and password: sgtAWI975_!",""
"failed","Mon Nov 06 16:48:34 GMT 2023","Mon Nov 06 16:48:34 GMT 2023","8","","jenkins.NegativeTest","","jenkins.NegativeTest","test3","test3()",""
"failed","Mon Nov 06 16:48:54 GMT 2023","Mon Nov 06 16:48:59 GMT 2023","5678","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","pdfParseTest","pdfParseTest()",""
"passed","Mon Nov 06 16:50:35 GMT 2023","Mon Nov 06 16:50:35 GMT 2023","1","","properties.SystemPropertiesTest","","properties.SystemPropertiesTest","simplePropertyTest","simplePropertyTest()",""
"passed","Mon Nov 06 16:50:41 GMT 2023","Mon Nov 06 16:50:44 GMT 2023","2603","","testFormQa.testForm","","testFormQa.testForm","testForm","testForm()",""
"broken","Mon Nov 06 16:48:59 GMT 2023","Mon Nov 06 16:48:59 GMT 2023","1","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","zipTest","zipTest()",""
"passed","Mon Nov 06 16:47:43 GMT 2023","Mon Nov 06 16:47:49 GMT 2023","6070","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfile","enterProfile(String, String) Authorization user by loginName: fill and password: Gtrjgsgy563!!!Here",""
"broken","Mon Nov 06 16:49:32 GMT 2023","Mon Nov 06 16:50:02 GMT 2023","30190","","jobFiles.UploadFileTest","","jobFiles.UploadFileTest","uploadText","uploadText()",""
"passed","Mon Nov 06 16:47:25 GMT 2023","Mon Nov 06 16:47:31 GMT 2023","6000","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfilePathFromData","enterProfilePathFromData(String, String) Authorization user by loginName: gregg and password: poiyywfu6732!PP",""
"failed","Mon Nov 06 16:48:34 GMT 2023","Mon Nov 06 16:48:34 GMT 2023","2","","jenkins.NegativeTest","","jenkins.NegativeTest","test2","test2()",""
"passed","Mon Nov 06 16:48:22 GMT 2023","Mon Nov 06 16:48:22 GMT 2023","1","","allureTest.LabelsTest","","allureTest.LabelsTest","annotatedStepDynamic","annotatedStepDynamic()",""
"passed","Mon Nov 06 16:50:58 GMT 2023","Mon Nov 06 16:50:58 GMT 2023","3","","test_3.github.TestLogin","","test_3.github.TestLogin","itShouldName","itShouldName()",""
"passed","Mon Nov 06 16:50:35 GMT 2023","Mon Nov 06 16:50:35 GMT 2023","1","","properties.SystemPropertiesTest","","properties.SystemPropertiesTest","simplePrTest","simplePrTest()",""
"passed","Mon Nov 06 16:48:44 GMT 2023","Mon Nov 06 16:48:54 GMT 2023","9662","","jobFiles.DownloadPdf","","jobFiles.DownloadPdf","downloadPDF2","downloadPDF2()",""
"failed","Mon Nov 06 16:47:07 GMT 2023","Mon Nov 06 16:47:12 GMT 2023","5270","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: ruffolo and password: gfhvqkh656!TT",""
"passed","Mon Nov 06 16:48:28 GMT 2023","Mon Nov 06 16:48:34 GMT 2023","5650","","allureTest.StepsTest","","allureTest.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Mon Nov 06 16:48:39 GMT 2023","Mon Nov 06 16:48:42 GMT 2023","3447","","jobFiles.DownloadPdf","","jobFiles.DownloadPdf","downloadPdf","downloadPdf()",""
"passed","Mon Nov 06 16:50:44 GMT 2023","Mon Nov 06 16:50:44 GMT 2023","1","","testTest.TestTest","","testTest.TestTest","test1","test1()",""
"passed","Mon Nov 06 16:48:34 GMT 2023","Mon Nov 06 16:48:37 GMT 2023","2554","","jobFiles.DownloadFileTest","","jobFiles.DownloadFileTest","downloadFileTxt","downloadFileTxt()",""
"skipped","Mon Nov 06 16:48:34 GMT 2023","Mon Nov 06 16:48:34 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test1","test1()",""
"passed","Mon Nov 06 16:47:05 GMT 2023","Mon Nov 06 16:47:07 GMT 2023","2192","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: gregg and password: poiyywfu6732!PP",""
"passed","Mon Nov 06 16:48:54 GMT 2023","Mon Nov 06 16:48:54 GMT 2023","27","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","csvTest1","csvTest1()",""
"passed","Mon Nov 06 16:48:14 GMT 2023","Mon Nov 06 16:48:19 GMT 2023","4697","","allureTest.AttachmentsTest","","allureTest.AttachmentsTest","annotatedStepAttachments","annotatedStepAttachments()",""
"passed","Mon Nov 06 16:48:38 GMT 2023","Mon Nov 06 16:48:39 GMT 2023","1411","","jobFiles.DownloadFileTest","","jobFiles.DownloadFileTest","downloadCucumberFile","downloadCucumberFile()",""
"passed","Mon Nov 06 16:48:37 GMT 2023","Mon Nov 06 16:48:38 GMT 2023","793","","jobFiles.DownloadFileTest","","jobFiles.DownloadFileTest","fileDownload","fileDownload()",""
"passed","Mon Nov 06 16:51:06 GMT 2023","Mon Nov 06 16:51:08 GMT 2023","1546","","test_3.github.test_Github","","test_3.github.test_Github","shouldFirstProjectGithubFromSelenideVoidTopContributor","shouldFirstProjectGithubFromSelenideVoidTopContributor()",""
"passed","Mon Nov 06 16:48:34 GMT 2023","Mon Nov 06 16:48:34 GMT 2023","2","","jenkins.PositiveTest","","jenkins.PositiveTest","test2","test2()",""
"passed","Mon Nov 06 16:48:34 GMT 2023","Mon Nov 06 16:48:34 GMT 2023","10","","jenkins.PositiveTest","","jenkins.PositiveTest","test1","test1()",""
"passed","Mon Nov 06 16:48:22 GMT 2023","Mon Nov 06 16:48:22 GMT 2023","0","","allureTest.LabelsTest","","allureTest.LabelsTest","testLambdaStepStatic","Создание issue для авторизованного пользователя",""
"passed","Mon Nov 06 16:47:02 GMT 2023","Mon Nov 06 16:47:05 GMT 2023","2555","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: fill and password: Gtrjgsgy563!!!Here",""
"passed","Mon Nov 06 16:48:42 GMT 2023","Mon Nov 06 16:48:44 GMT 2023","1298","","jobFiles.DownloadPdf","","jobFiles.DownloadPdf","downloadPdfAndSave","downloadPdfAndSave()",""
"failed","Mon Nov 06 16:48:34 GMT 2023","Mon Nov 06 16:48:34 GMT 2023","35","","jenkins.NegativeTest","","jenkins.NegativeTest","test1","test1()",""
"passed","Mon Nov 06 16:48:03 GMT 2023","Mon Nov 06 16:48:05 GMT 2023","1935","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: Gtrjgsgy563!!!Here| and name of |User: fill|",""
"passed","Mon Nov 06 16:48:01 GMT 2023","Mon Nov 06 16:48:03 GMT 2023","1870","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: sgtAWI975_!| and name of |User: login|",""
"passed","Mon Nov 06 16:48:59 GMT 2023","Mon Nov 06 16:49:00 GMT 2023","351","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","xlsParseTest","xlsParseTest()",""
"passed","Mon Nov 06 16:50:35 GMT 2023","Mon Nov 06 16:50:38 GMT 2023","3487","","testFormQa.testForm","","testFormQa.testForm","testForm3Faker","testForm3Faker()",""
"passed","Mon Nov 06 16:47:12 GMT 2023","Mon Nov 06 16:47:18 GMT 2023","6371","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfilePathFromData","enterProfilePathFromData(String, String) Authorization user by loginName: login and password: sgtAWI975_!",""
"passed","Mon Nov 06 16:48:34 GMT 2023","Mon Nov 06 16:48:34 GMT 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test4","test4()",""
"passed","Mon Nov 06 16:50:44 GMT 2023","Mon Nov 06 16:50:44 GMT 2023","0","","testTest.TestTest","","testTest.TestTest","test3","test3()",""
"passed","Mon Nov 06 16:48:07 GMT 2023","Mon Nov 06 16:48:08 GMT 2023","1833","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: gfhvqkh656!TT| and name of |User: ruffolo|",""
"passed","Mon Nov 06 16:48:22 GMT 2023","Mon Nov 06 16:48:25 GMT 2023","2798","","allureTest.SelenideTest","","allureTest.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Mon Nov 06 16:48:19 GMT 2023","Mon Nov 06 16:48:22 GMT 2023","3663","","allureTest.AttachmentsTest","","allureTest.AttachmentsTest","testLambdaStepAttachments","testLambdaStepAttachments()",""
"passed","Mon Nov 06 16:48:34 GMT 2023","Mon Nov 06 16:48:34 GMT 2023","3","","jenkins.PositiveTest","","jenkins.PositiveTest","test5","test5()",""
"passed","Mon Nov 06 16:47:18 GMT 2023","Mon Nov 06 16:47:25 GMT 2023","6119","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfilePathFromData","enterProfilePathFromData(String, String) Authorization user by loginName: fill and password: Gtrjgsgy563!!!Here",""
"broken","Mon Nov 06 16:50:34 GMT 2023","Mon Nov 06 16:50:34 GMT 2023","537","","pageObject.TestFormPageAllure","","pageObject.TestFormPageAllure","testForm","Заполнение формы регистрации",""
"failed","Mon Nov 06 16:50:58 GMT 2023","Mon Nov 06 16:51:03 GMT 2023","5438","","test_3.github.TestLogin","","test_3.github.TestLogin","testLoginError","testLoginError()",""
