"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 05 18:21:49 GMT 2023","Sun Nov 05 18:21:53 GMT 2023","3149","","test_3.github.test_Github","","test_3.github.test_Github","shouldFirstProjectGithubFromSelenide","shouldFirstProjectGithubFromSelenide()",""
"passed","Sun Nov 05 18:19:25 GMT 2023","Sun Nov 05 18:19:31 GMT 2023","5752","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfilePathFromData","enterProfilePathFromData(String, String) Authorization user by loginName: gregg and password: poiyywfu6732!PP",""
"failed","Sun Nov 05 18:20:25 GMT 2023","Sun Nov 05 18:20:25 GMT 2023","1","","jenkins.NegativeTest","","jenkins.NegativeTest","test4","test4()",""
"passed","Sun Nov 05 18:20:28 GMT 2023","Sun Nov 05 18:20:29 GMT 2023","1355","","jobFiles.DownloadFileTest","","jobFiles.DownloadFileTest","downloadCucumberFile","downloadCucumberFile()",""
"passed","Sun Nov 05 18:20:18 GMT 2023","Sun Nov 05 18:20:18 GMT 2023","0","","allureTest.LabelsTest","","allureTest.LabelsTest","annotatedStepDynamic","annotatedStepDynamic()",""
"passed","Sun Nov 05 18:19:14 GMT 2023","Sun Nov 05 18:19:19 GMT 2023","5746","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfilePathFromData","enterProfilePathFromData(String, String) Authorization user by loginName: login and password: sgtAWI975_!",""
"passed","Sun Nov 05 18:19:42 GMT 2023","Sun Nov 05 18:19:48 GMT 2023","5733","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfile","enterProfile(String, String) Authorization user by loginName: fill and password: Gtrjgsgy563!!!Here",""
"passed","Sun Nov 05 18:21:13 GMT 2023","Sun Nov 05 18:21:17 GMT 2023","3148","","pageObject.TestFormPage","","pageObject.TestFormPage","testForm","testForm()",""
"passed","Sun Nov 05 18:20:02 GMT 2023","Sun Nov 05 18:20:03 GMT 2023","1603","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: Gtrjgsgy563!!!Here| and name of |User: fill|",""
"passed","Sun Nov 05 18:20:03 GMT 2023","Sun Nov 05 18:20:05 GMT 2023","1782","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource1","enterProfileMethodSource1(String, String) Authorization user by |Password: poiyywfu6732!PP| and name of |User: gregg|",""
"passed","Sun Nov 05 18:20:41 GMT 2023","Sun Nov 05 18:20:41 GMT 2023","14","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","csvTest1","csvTest1()",""
"passed","Sun Nov 05 18:21:42 GMT 2023","Sun Nov 05 18:21:44 GMT 2023","2374","","test_3.github.test_Github","","test_3.github.test_Github","shouldHaveProjectGithubFromSelenide","shouldHaveProjectGithubFromSelenide()",""
"passed","Sun Nov 05 18:20:25 GMT 2023","Sun Nov 05 18:20:27 GMT 2023","1833","","jobFiles.DownloadFileTest","","jobFiles.DownloadFileTest","downloadFileTxt","downloadFileTxt()",""
"skipped","Sun Nov 05 18:20:25 GMT 2023","Sun Nov 05 18:20:25 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test3","test3()",""
"passed","Sun Nov 05 18:19:48 GMT 2023","Sun Nov 05 18:19:54 GMT 2023","5728","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfile","enterProfile(String, String) Authorization user by loginName: gregg and password: poiyywfu6732!PP",""
"passed","Sun Nov 05 18:20:18 GMT 2023","Sun Nov 05 18:20:20 GMT 2023","2241","","allureTest.SelenideTest","","allureTest.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Sun Nov 05 18:20:23 GMT 2023","Sun Nov 05 18:20:25 GMT 2023","2253","","allureTest.StepsTest","","allureTest.StepsTest","testLambdaStep","testLambdaStep()",""
"broken","Sun Nov 05 18:20:47 GMT 2023","Sun Nov 05 18:20:47 GMT 2023","1","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","zipTest","zipTest()",""
"passed","Sun Nov 05 18:20:25 GMT 2023","Sun Nov 05 18:20:25 GMT 2023","0","","jenkins.PositiveTest","","jenkins.PositiveTest","test1","test1()",""
"passed","Sun Nov 05 18:21:23 GMT 2023","Sun Nov 05 18:21:24 GMT 2023","1592","","testFormQa.testForm","","testFormQa.testForm","testForm","testForm()",""
"skipped","Sun Nov 05 18:20:25 GMT 2023","Sun Nov 05 18:20:25 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test1","test1()",""
"passed","Sun Nov 05 18:20:25 GMT 2023","Sun Nov 05 18:20:25 GMT 2023","0","","jenkins.PositiveTest","","jenkins.PositiveTest","test2","test2()",""
"passed","Sun Nov 05 18:19:10 GMT 2023","Sun Nov 05 18:19:12 GMT 2023","1900","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: gregg and password: poiyywfu6732!PP",""
"failed","Sun Nov 05 18:21:37 GMT 2023","Sun Nov 05 18:21:42 GMT 2023","5032","","test_3.github.TestLogin","","test_3.github.TestLogin","testLoginError","testLoginError()",""
"failed","Sun Nov 05 18:21:31 GMT 2023","Sun Nov 05 18:21:37 GMT 2023","5425","","test_3.github.TestLogin","","test_3.github.TestLogin","successfulSearchTest","successfulSearchTest()",""
"passed","Sun Nov 05 18:19:12 GMT 2023","Sun Nov 05 18:19:14 GMT 2023","1907","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: ruffolo and password: gfhvqkh656!TT",""
"broken","Sun Nov 05 18:20:32 GMT 2023","Sun Nov 05 18:20:32 GMT 2023","39","","jobFiles.DownloadPdf","","jobFiles.DownloadPdf","xlsParseTest","xlsParseTest()",""
"passed","Sun Nov 05 18:20:16 GMT 2023","Sun Nov 05 18:20:18 GMT 2023","2523","","allureTest.AttachmentsTest","","allureTest.AttachmentsTest","testLambdaStepAttachments","testLambdaStepAttachments()",""
"failed","Sun Nov 05 18:21:02 GMT 2023","Sun Nov 05 18:21:13 GMT 2023","11333","","jobFiles.UploadFileTest","","jobFiles.UploadFileTest","uploadMp3","uploadMp3()",""
"passed","Sun Nov 05 18:20:49 GMT 2023","Sun Nov 05 18:20:50 GMT 2023","1321","","jobFiles.SelenideFileTest","","jobFiles.SelenideFileTest","downloadTest","downloadTest()",""
"passed","Sun Nov 05 18:20:47 GMT 2023","Sun Nov 05 18:20:47 GMT 2023","1","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","csvTest","csvTest()",""
"passed","Sun Nov 05 18:20:25 GMT 2023","Sun Nov 05 18:20:25 GMT 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test5","test5()",""
"passed","Sun Nov 05 18:20:25 GMT 2023","Sun Nov 05 18:20:25 GMT 2023","0","","jenkins.PositiveTest","","jenkins.PositiveTest","test3","test3()",""
"passed","Sun Nov 05 18:19:08 GMT 2023","Sun Nov 05 18:19:10 GMT 2023","1985","","_12LessonJunit.ParametrizeForm","","_12LessonJunit.ParametrizeForm","enterProfileMethodSource","enterProfileMethodSource(String, String) Authorization user by loginName: fill and password: Gtrjgsgy563!!!Here",""
"passed","Sun Nov 05 18:21:24 GMT 2023","Sun Nov 05 18:21:31 GMT 2023","7114","","test_3.github.TestLogin","","test_3.github.TestLogin","testLoginSuccess","testLoginSuccess()",""
"passed","Sun Nov 05 18:20:47 GMT 2023","Sun Nov 05 18:20:47 GMT 2023","235","","jobFiles.FilesParsingTest","","jobFiles.FilesParsingTest","xlsParseTest","xlsParseTest()",""
"passed","Sun Nov 05 18:20:29 GMT 2023","Sun Nov 05 18:20:32 GMT 2023","2587","","jobFiles.DownloadPdf","","jobFiles.DownloadPdf","downloadPdf","downloadPdf()",""
"passed","Sun Nov 05 18:20:12 GMT 2023","Sun Nov 05 18:20:16 GMT 2023","3682","","allureTest.AttachmentsTest","","allureTest.AttachmentsTest","annotatedStepAttachments","annotatedStepAttachments()",""
"passed","Sun Nov 05 18:20:20 GMT 2023","Sun Nov 05 18:20:22 GMT 2023","2020","","allureTest.StepsTest","","allureTest.StepsTest","annotatedStep","annotatedStep()",""
"failed","Sun Nov 05 18:21:44 GMT 2023","Sun Nov 05 18:21:49 GMT 2023","5163","","test_3.github.test_Github","","test_3.github.test_Github","shouldFirstProjectGithubFromSelenideVoidTopContributor","shouldFirstProjectGithubFromSelenideVoidTopContributor()",""
